ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs)
645384,Greek Yogurt Chicken Salad,4,"['lunch', 'main course', 'main dish', 'dinner']","['Mediterranean', 'European', 'Greek']",7,6.0,334.09,kcal,16.7,2.45,g,15.31,9.21,g,10.24,318.44,mg,13.85,41.31,g,82.62
636271,Brooklyn Blackout Cake,6,['dessert'],[],14,12.0,328.77,kcal,16.44,7.57,g,47.34,8.25,g,9.16,305.1,mg,13.27,29.67,mg,9.89
639137,Chocolate Pavlova with Winter Fruit,13,['dessert'],[],12,13.0,283.94,kcal,14.2,10.35,g,64.7,29.74,g,33.05,32.36,mg,1.41,5.7,mg,1.9
634229,Bananas Foster,4,['dessert'],"['Creole', 'Cajun']",7,14.0,507.9,kcal,25.4,7.33,g,45.82,66.5,g,73.89,105.02,mg,4.57,13.06,g,72.57
660283,SLOW COOKER CHICKEN GUMBO SOUP,2,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Creole', 'Cajun']",14,5.0,351.07,kcal,17.55,1.37,g,8.55,6.26,g,6.96,764.99,mg,33.26,12.98,g,25.96
633595,Baked Eggs With Asparagus and Sun Dried Tomatoes,3,"['lunch', 'main course', 'morning meal', 'brunch', 'main dish', 'breakfast', 'dinner']",[],8,3.0,178.27,kcal,8.91,2.5,g,15.61,6.17,g,6.85,275.18,mg,11.96,20.99,g,41.97
663879,Trout wrapped in bacon,4,"['lunch', 'main course', 'main dish', 'dinner']",[],8,14.0,519.15,kcal,25.96,10.73,g,67.07,0.16,g,0.17,429.84,mg,18.69,47.34,g,94.69
634986,Bing's Banana Cake,6,['dessert'],[],8,3.0,139.04,kcal,6.95,0.74,g,4.6,6.36,g,7.07,133.3,mg,5.8,3.88,g,7.76
716431,Crockpot Applesauce,1703,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],5,1.0,412.45,kcal,20.62,0.22,g,1.37,80.03,g,88.92,8.19,mg,0.36,1.49,g,8.28
659143,"Salmon, Watercress, Fennel and Baby Beetroot Salad With Lemony ""Caviar"" Dressing",4,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],12,9.0,440.07,kcal,22.0,4.24,g,26.48,10.85,g,12.06,186.03,mg,8.09,0.39,g,2.15
