ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs)
663050,Tex-Mex Burger,2,"['lunch', 'main course', 'main dish', 'dinner']",['American'],12,28,884.46,kcal,44.22,22.92,g,143.22,6.13,g,6.81,1300.92,mg,56.56,50.53,g,101.05
638832,Chocolate Banoffee Pie,69,['dessert'],[],11,39,885.03,kcal,44.25,29.04,g,181.52,69.04,g,76.71,449.44,mg,19.54,33.38,mg,11.13
642660,Fennel and Orange Salad With Toasted Hazelnuts and Cranberries,18,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,3,166.57,kcal,8.33,1.33,g,8.33,11.05,g,12.27,176.88,mg,7.69,2.2,g,4.4
648974,Kk's Fish Tacos,2,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],10,12,519.57,kcal,25.98,5.45,g,34.03,6.92,g,7.69,575.92,mg,25.04,47.6,g,95.19
664147,Tuscan White Bean Soup with Olive Oil and Rosemary,22,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],8,6,242.41,kcal,12.12,0.26,g,1.62,2.23,g,2.48,206.16,mg,8.96,16.13,g,32.27
659135,Salmon with roasted vegetables,7,"['lunch', 'main course', 'main dish', 'dinner']",[],10,10,495.53,kcal,24.78,2.78,g,17.38,10.3,g,11.44,121.03,mg,5.26,38.53,g,77.06
636363,Brussels Sprouts In Honey Butter With Chili Flakes,9,['side dish'],['American'],5,1,65.52,kcal,3.28,1.3,g,8.1,4.68,g,5.2,260.63,mg,11.33,2.85,g,5.71
633668,Baked Lemon~Lime Chicken Wings,5,"['antipasti', 'lunch', 'main course', 'starter', 'snack', 'appetizer', 'main dish', 'antipasto', ""hor d'oeuvre"", 'dinner']",['American'],13,26,725.48,kcal,36.27,10.33,g,64.54,42.99,g,47.76,452.93,mg,19.69,3.18,g,17.67
629963,chilli chicken,3,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['American'],18,5,257.48,kcal,12.87,1.03,g,6.42,8.63,g,9.58,936.93,mg,40.74,29.64,g,59.28
721185,avarakkai paruppu curry recipe,3,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Indian', 'Asian']",14,6,215.44,kcal,10.77,0.91,g,5.71,8.63,g,9.59,321.65,mg,13.98,5.78,g,11.55
658855,Rugelach,3,['dessert'],[],12,7,168.27,kcal,8.41,6.63,g,41.42,5.91,g,6.56,87.2,mg,3.79,2.05,g,4.1
